z,PL,PT
0.0,187.879,-186.958162931
0.104176566624,189.459,-185.509231684
0.208353133248,198.608,-190.965772746
0.312529699872,211.602,-192.472416038
0.416706266496,205.785,-188.503098348
0.52088283312,212.412,-182.330716095
0.625059399744,212.677,-180.30896864
0.729235966368,211.471,-180.765210772
0.833412532992,237.303,-180.418593531
0.937589099616,262.34,-186.323053844
1.04176566624,286.553,-190.207099891
1.14594223286,341.808,-182.455088272
1.25011879949,404.898,-162.448705443
1.35429536611,472.411,-154.111759535
1.45847193274,529.749,-145.328050219
1.56264849936,572.657,-135.39535541
1.66682506598,496.665,-139.169772461
1.77100163261,480.9,-153.994387862
1.87517819923,277.407,-170.315621518
1.97935476586,200.785,-177.027760171
2.08353133248,-248.342,-196.87151907
2.1877078991,-640.388,-219.454870455
2.29188446573,-912.428,-226.932637674
2.39606103235,-832.406,-232.974884918
2.50023759898,-345.398,-213.66684776
2.6044141656,-64.5011,-184.816973298
2.70859073222,252.021,-173.132033883
2.81276729885,549.095,-171.701785777
2.91694386547,865.805,-163.319720748
3.0211204321,1026.36,-160.793064791
3.12529699872,797.639,-157.45476003
3.22947356534,417.802,-162.250087658
3.33365013197,-100.443,-178.554737292
3.43782669859,-255.761,-194.271057135
3.54200326522,-35.3358,-191.186947179
3.64617983184,265.069,-177.917632542
3.75035639846,375.613,-177.454159914
3.85453296509,270.053,-173.960270724
3.95870953171,6.46418,-174.703785105
4.06288609834,-184.019,-184.888463083
4.16706266496,-75.8852,-178.407395914
4.27123923158,351.819,-160.513094428
4.37541579821,855.56,-153.861982344
4.47959236483,963.532,-152.928910374
4.58376893146,817.838,-149.731506079
4.68794549808,526.473,-145.94450231
4.7921220647,243.269,-148.28696611
4.89629863133,-34.4279,-167.221181081
5.00047519795,-362.491,-200.737252598
5.10465176457,-639.988,-214.069701172
5.2088283312,-961.98,-198.682602186
5.31300489782,-662.725,-190.301720564
5.41718146445,-316.818,-194.670031924
5.52135803107,184.985,-184.496689632
5.62553459769,319.939,-168.903118489
5.72971116432,413.314,-148.190406315
5.83388773094,489.853,-134.04246672
5.93806429757,541.537,-129.902938042
6.04224086419,526.561,-138.471265885
6.14641743081,483.559,-156.519565608
6.25059399744,412.466,-167.183695357
6.35477056406,337.236,-177.946425643
6.45894713069,278.839,-180.690632227
6.56312369731,249.837,-183.21905445
6.66730026393,231.761,-179.012702157
6.77147683056,220.973,-181.743234832
6.87565339718,216.947,-180.843807491
6.97982996381,205.291,-181.7364675
7.08400653043,200.442,-183.940288126
7.18818309705,212.001,-191.620284671
7.29235966368,198.036,-190.449746771
7.3965362303,189.065,-191.023184089
