z,PL,PT
0.0,187.501,-196.868482933
0.100297442114,206.434,-187.956528333
0.200594884227,195.653,-186.153971246
0.300892326341,210.478,-188.753133206
0.401189768455,202.195,-191.355086449
0.501487210569,217.054,-191.465975951
0.601784652682,203.152,-193.603302325
0.702082094796,222.88,-192.264244058
0.80237953691,223.321,-181.209402007
0.902676979024,228.268,-177.156252294
1.00297442114,259.547,-182.304752931
1.10327186325,282.556,-172.154033113
1.20356930536,329.049,-169.307560152
1.30386674748,418.367,-171.68663809
1.40416418959,497.669,-164.919512675
1.50446163171,557.858,-139.831746265
1.60475907382,533.314,-127.846376709
1.70505651593,489.844,-120.208618648
1.80535395805,438.112,-131.16678036
1.90565140016,379.874,-168.315638412
2.00594884227,253.467,-197.948175741
2.10624628439,-3.01958,-216.964436226
2.2065437265,-463.59,-225.319324871
2.30684116862,-840.292,-202.003273307
2.40713861073,-998.09,-185.404258846
2.50743605284,-692.278,-190.259844605
2.60773349496,-269.724,-197.063543638
2.70803093707,22.1053,-170.034182737
2.80832837918,426.404,-155.315686971
2.9086258213,646.571,-135.994995104
3.00892326341,922.643,-146.664592995
3.10922070553,1166.5,-164.176404949
3.20951814764,808.81,-166.201023634
3.30981558975,186.595,-161.572756558
3.41011303187,-264.462,-182.027205272
3.51041047398,-213.859,-197.816899976
3.61070791609,58.3137,-193.838624323
3.71100535821,276.321,-182.165626228
3.81130280032,416.453,-182.963761711
3.91160024244,320.361,-182.141282343
4.01189768455,42.8247,-167.030377929
4.11219512666,-220.368,-174.005238906
4.21249256878,-210.137,-188.89081703
4.31279001089,174.834,-189.008915787
4.413087453,769.301,-175.088202024
4.51338489512,1102.24,-177.230154277
4.61368233723,1021.99,-175.810198781
4.71397977935,550.753,-165.641642643
4.81427722146,324.378,-165.111439575
4.91457466357,64.4958,-177.727671368
5.01487210569,-234.645,-196.582240012
5.1151695478,-630.715,-196.277442916
5.21546698991,-987.51,-178.996560642
5.31576443203,-836.718,-183.734291317
5.41606187414,-469.223,-198.029222811
5.51635931625,-39.494,-191.843387329
5.61665675837,175.76,-177.108619636
5.71695420048,388.472,-163.143193281
5.8172516426,447.944,-141.236591589
5.91754908471,544.498,-125.230340376
6.01784652682,543.821,-143.076896733
6.11814396894,526.529,-160.639076323
6.21844141105,499.858,-177.822501093
6.31873885316,409.766,-185.286781729
6.41903629528,334.988,-182.810095877
6.51933373739,283.908,-176.994324128
6.61963117951,248.692,-181.094134134
6.71992862162,231.275,-186.527152567
6.82022606373,215.667,-180.501550404
6.92052350585,213.169,-184.849475742
7.02082094796,220.614,-193.21124492
7.12111839007,211.258,-204.595704513
7.22141583219,207.005,-198.426676627
7.3217132743,207.298,-195.561270957
7.42201071642,221.959,-198.853321377
7.52230815853,215.776,-196.504535464
