z,PL,PT
0.0,192.48,-172.332168761
0.0996706393987,183.245,-172.27254474
0.199341278797,175.353,-175.36045481
0.299011918196,192.35,-177.755621447
0.398682557595,205.187,-187.818371757
0.498353196994,201.217,-199.211150398
0.598023836392,207.391,-198.956099387
0.697694475791,240.616,-185.803770586
0.79736511519,229.38,-174.734215325
0.897035754589,279.634,-182.319569088
0.996706393987,319.046,-182.359280628
1.09637703339,367.098,-171.109265833
1.19604767278,435.265,-168.98408421
1.29571831218,490.195,-140.251792137
1.39538895158,551.874,-135.231453269
1.49505959098,507.721,-136.571619593
1.59473023038,513.554,-144.080602369
1.69440086978,393.463,-141.443825759
1.79407150918,280.418,-147.054987984
1.89374214858,161.409,-147.968097328
1.99341278797,-181.397,-177.524275843
2.09308342737,-1031.68,-195.67060657
2.19275406677,-1151.72,-212.15650837
2.29242470617,-650.361,-207.356773565
2.39209534557,-301.362,-198.655852231
2.49176598497,-0.59131,-185.714052871
2.59143662437,420.438,-185.556494762
2.69110726377,792.929,-198.083324584
2.79077790316,935.082,-192.676965153
2.89044854256,751.672,-185.826941671
2.99011918196,601.291,-195.71579118
3.08978982136,389.671,-188.048784723
3.18946046076,72.4666,-183.817239687
3.28913110016,-63.2667,-197.602851166
3.38880173956,78.4645,-216.306416633
3.48847237896,248.444,-224.965085061
3.58814301835,219.515,-210.748977165
3.68781365775,90.2497,-213.609104934
3.78748429715,7.15215,-221.110200471
3.88715493655,80.104,-219.301202926
3.98682557595,426.466,-213.179221551
4.08649621535,738.027,-191.12647673
4.18616685475,861.017,-199.165423049
4.28583749415,770.684,-217.95385662
4.38550813354,608.492,-202.291239173
4.48517877294,344.846,-205.229138163
4.58484941234,43.9745,-218.887034455
4.68452005174,-213.709,-216.851164194
4.78419069114,-556.59,-209.482679243
4.88386133054,-1174.41,-207.343269905
4.98353196994,-1149.7,-196.942650619
5.08320260934,-242.485,-199.688568639
5.18287324873,154.264,-196.887410536
5.28254388813,327.96,-171.521186063
5.38221452753,446.272,-166.455503117
5.48188516693,457.613,-149.936531766
5.58155580633,511.176,-129.527692459
5.68122644573,557.617,-127.427565643
5.78089708513,513.565,-140.295338999
5.88056772453,446.589,-166.926392079
5.98023836392,367.509,-179.487185844
6.07990900332,325.807,-182.329572559
6.17957964272,294.905,-180.751647223
6.27925028212,251.628,-183.168260829
6.37892092152,247.051,-189.074694113
6.47859156092,223.171,-191.938188356
6.57826220032,200.651,-185.265693173
6.67793283972,214.365,-174.145500181
6.77760347911,187.486,-165.921080432
6.87727411851,198.209,-163.959847443
6.97694475791,182.563,-167.725379828
