z,PL,PT
0.0,174.418,-166.342112199
0.0988225781107,206.864,-176.569296102
0.197645156221,210.285,-187.173913289
0.296467734332,191.675,-194.702741949
0.395290312443,191.926,-187.228702586
0.494112890553,225.221,-181.318999477
0.592935468664,204.646,-179.122806687
0.691758046775,220.682,-184.670144741
0.790580624886,233.675,-180.048429473
0.889403202996,246.221,-180.059927047
0.988225781107,285.87,-176.391270895
1.08704835922,309.414,-167.608287128
1.18587093733,349.746,-169.86627788
1.28469351544,474.368,-171.757625639
1.38351609355,531.195,-178.623199995
1.48233867166,561.647,-166.799842519
1.58116124977,507.937,-148.285985076
1.67998382788,489.101,-134.2073217
1.77880640599,434.466,-144.641544825
1.8776289841,250.491,-166.296500456
1.97645156221,21.6751,-168.766350801
2.07527414032,-550.24,-172.936689248
2.17409671844,-1367.35,-195.082158772
2.27291929655,-832.847,-230.719301351
2.37174187466,524.149,-236.122211155
2.47056445277,-231.537,-195.962232727
2.56938703088,-414.258,-197.211212345
2.66820960899,-57.0267,-176.889151882
2.7670321871,467.587,-148.211506684
2.86585476521,745.371,-155.584830139
2.96467734332,1100.6,-163.962589316
3.06349992143,992.96,-190.323812209
3.16232249954,471.174,-205.285024062
3.26114507765,82.0552,-204.999973971
3.35996765576,-214.416,-184.622364544
3.45879023387,-92.1194,-181.799643765
3.55761281199,152.914,-182.847889756
3.6564353901,339.554,-177.438323989
3.75525796821,344.222,-179.030966396
3.85408054632,177.019,-178.398985467
3.95290312443,-41.6268,-194.460221302
4.05172570254,-88.9294,-212.591457121
4.15054828065,104.621,-212.033605265
4.24937085876,487.572,-202.722443165
4.34819343687,825.809,-194.640766378
4.44701601498,977.114,-202.547537442
4.54583859309,769.287,-198.421213456
4.6446611712,476.14,-207.67103414
4.74348374931,-11.1008,-209.130379558
4.84230632742,-696.982,-212.222020009
4.94112890553,22.6662,-203.303257111
5.03995148365,453.634,-196.900118732
5.13877406176,-740.681,-206.557148965
5.23759663987,-1253.83,-218.970633511
5.33641921798,-576.618,-220.500505691
5.43524179609,-20.8289,-193.362162979
5.5340643742,289.089,-163.667252469
5.63288695231,322.082,-132.884070984
5.73170953042,522.299,-122.554662523
5.83053210853,582.131,-126.638582704
5.92935468664,548.116,-133.642616836
6.02817726475,493.827,-145.348594459
6.12699984286,440.495,-168.049249266
6.22582242097,371.987,-180.111017516
6.32464499908,325.992,-183.631367829
6.4234675772,254.982,-181.721070467
6.52229015531,259.386,-187.362123037
6.62111273342,232.525,-189.93174624
6.71993531153,216.332,-191.042173647
6.81875788964,221.593,-184.216110094
6.91758046775,217.744,-181.624257427
7.01640304586,194.445,-181.466859441
7.11522562397,213.824,-183.588836488
7.21404820208,186.717,-184.824457993
7.31287078019,200.771,-171.647806055
