z,PL,PT
0.0,194.265,-173.568191229
0.101897925945,198.321,-173.006293063
0.203795851889,196.245,-176.249636598
0.305693777834,202.385,-180.718441385
0.407591703779,220.285,-175.319931621
0.509489629724,219.895,-182.199662173
0.611387555668,235.074,-181.271289572
0.713285481613,226.083,-180.072810107
0.815183407558,242.683,-174.627392532
0.917081333503,266.193,-173.504616749
1.01897925945,309.018,-168.452377724
1.12087718539,356.023,-166.758250361
1.22277511134,437.18,-162.03149039
1.32467303728,461.778,-157.573643079
1.42657096323,449.207,-146.923450243
1.52846888917,458.067,-151.735963569
1.63036681512,388.036,-148.033331969
1.73226474106,261.341,-148.171078488
1.83416266701,76.7961,-165.658019239
1.93606059295,-394.63,-195.09829862
2.03795851889,-822.447,-217.129004762
2.13985644484,-242.253,-232.164127346
2.24175437078,63.6394,-248.871061878
2.34365229673,-629.968,-249.153858585
2.44555022267,-861.857,-211.235908234
2.54744814862,-47.1369,-204.755139704
2.64934607456,425.988,-219.44324221
2.75124400051,695.267,-222.061005984
2.85314192645,861.681,-222.760188622
2.9550398524,825.948,-210.953916855
3.05693777834,585.345,-213.121242961
3.15883570429,271.51,-223.735095855
3.26073363023,-0.302989,-231.661231869
3.36263155618,22.2462,-245.876207772
3.46452948212,138.275,-238.541428592
3.56642740807,252.159,-221.635095686
3.66832533401,262.253,-220.442991203
3.77022325996,129.893,-218.142849133
3.8721211859,8.31874,-208.753669835
3.97401911184,98.1377,-206.244538348
4.07591703779,323.991,-210.625019696
4.17781496373,673.681,-195.391095175
4.27971288968,864.946,-195.463987633
4.38161081562,812.173,-197.107135284
4.48350874157,693.899,-219.650928073
4.58540666751,355.517,-231.982166398
4.68730459346,-311.341,-252.702382454
4.7892025194,-912.289,-275.430333176
4.89110044535,-523.188,-272.509770408
4.99299837129,163.599,-278.416364226
5.09489629724,-342.363,-246.056368961
5.19679422318,-800.176,-204.380223399
5.29869214913,-314.392,-148.719224074
5.40059007507,132.454,-113.290283455
5.50248800102,285.3,-101.260399785
5.60438592696,404.176,-99.686309768
5.7062838529,488.482,-115.109691052
5.80818177885,488.433,-138.099587672
5.91007970479,468.34,-167.239364195
6.01197763074,410.255,-188.959419728
6.11387555668,366.382,-181.97595302
6.21577348263,324.334,-180.394374951
6.31767140857,256.075,-180.735547755
6.41956933452,275.342,-178.289318313
6.52146726046,231.243,-185.976816025
6.62336518641,233.57,-179.560075501
6.72526311235,230.99,-192.377192267
6.8271610383,216.927,-194.354299943
6.92905896424,210.296,-186.582665719
7.03095689019,207.05,-178.211866739
7.13285481613,206.583,-174.821519308
