z,PL,PT
0.0,208.056,-179.169301559
0.102187260519,228.93,-184.267310619
0.204374521038,213.041,-186.019330577
0.306561781557,216.426,-186.652064372
0.408749042076,217.984,-193.397327442
0.510936302595,236.524,-183.385733944
0.613123563114,247.078,-178.59393116
0.715310823633,269.246,-182.21707393
0.817498084152,297.403,-181.29638767
0.919685344671,288.782,-181.051506823
1.02187260519,294.99,-183.430445242
1.12405986571,315.651,-172.767113969
1.22624712623,287.627,-163.904108234
1.32843438675,321.937,-163.355822303
1.43062164727,281.488,-166.127316439
1.53280890779,282.253,-172.982272171
1.6349961683,242.207,-177.081090933
1.73718342882,175.742,-181.797075697
1.83937068934,137.282,-186.627699982
1.94155794986,59.1701,-190.191451446
2.04374521038,42.5554,-184.02227922
2.1459324709,-26.4729,-185.715621981
2.24811973142,-73.9519,-161.94476742
2.35030699194,-17.2105,-163.649738425
2.45249425246,-32.1905,-176.091493795
2.55468151298,-11.5268,-188.166094423
2.65686877349,41.3897,-199.211446399
2.75905603401,98.1087,-197.660239394
2.86124329453,-486.843,-192.981948186
2.96343055505,1451.93,-182.592229244
3.06561781557,-252.973,-178.055373482
3.16780507609,104.996,-176.698171654
3.26999233661,391.085,-174.570492156
3.37217959713,298.773,-179.843591015
3.47436685765,196.614,-200.887895724
3.57655411817,237.039,-197.675383251
3.67874137868,213.621,-183.991316511
3.7809286392,248.589,-176.324704241
3.88311589972,239.884,-187.597531214
3.98530316024,256.163,-200.783824878
4.08749042076,251.88,-206.264708206
4.18967768128,274.719,-188.954193727
4.2918649418,231.43,-185.863100458
4.39405220232,283.474,-197.148520527
4.49623946284,256.896,-183.48851982
4.59842672336,201.998,-185.500191508
4.70061398388,224.955,-182.85634183
4.80280124439,78.6142,-179.898135465
4.90498850491,197.895,-178.04377078
5.00717576543,-20.2162,-174.322774451
5.10936302595,-7.29941,-171.985447051
5.21155028647,-45.089,-184.420471803
5.31373754699,-36.9722,-179.88955898
5.41592480751,-62.3041,-155.859781306
5.51811206803,19.4126,-169.581460813
5.62029932855,49.0401,-171.480703027
5.72248658907,66.8222,-151.319757002
5.82467384958,175.382,-142.816628395
5.9268611101,193.64,-134.047726821
6.02904837062,250.355,-142.012439994
6.13123563114,313.09,-160.02748497
6.23342289166,310.578,-178.347316956
6.33561015218,316.468,-184.226318348
6.4377974127,315.509,-177.249099226
6.53998467322,303.611,-176.922440283
6.64217193374,297.975,-180.655165503
6.74435919426,281.666,-186.855648898
6.84654645477,274.315,-188.326367342
6.94873371529,244.469,-182.938243831
7.05092097581,255.27,-184.570992065
7.15310823633,225.383,-188.20582801
7.25529549685,236.099,-183.873027669
7.35748275737,208.261,-176.168744451
7.45967001789,207.779,-171.999577899
7.56185727841,209.795,-176.686970944
